Vikings,,
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,G,1
1,0,0,0,0,L,1,1,1,1,1
1,0,0,0,0,L,0,0,0,0,1
1,0,0,0,0,L,0,0,0,0,1
1,0,0,0,0,L,0,0,0,0,1
1,1,1,1,1,L,1,1,1,1,1
1,0,0,0,0,L,0,0,0,0,1
1,0,0,0,0,L,0,0,0,0,1
1,E,0,0,0,L,0,0,0,E,1
1,1,1,1,1,L,1,1,1,1,1
1,0,0,0,0,L,0,0,0,E,1
1,0,0,0,0,L,1,1,1,1,1
1,E,0,0,0,L,0,0,0,0,1
1,1,1,1,1,L,0,0,0,0,1
1,0,0,0,0,L,0,0,0,E,1
1,0,0,0,0,L,1,1,1,1,1
1,0,0,0,0,L,0,0,0,0,1
1,0,0,0,0,L,0,0,0,0,1
1,1,1,1,1,L,1,1,1,1,1
1,0,0,0,0,L,0,0,0,0,1
1,E,0,0,0,L,0,0,0,0,1
1,1,1,1,1,L,0,0,0,0,1
1,0,0,0,0,L,0,0,0,E,1
1,0,0,0,0,L,1,1,1,1,1
1,E,0,0,0,L,0,0,0,0,1
1,1,1,1,1,L,0,0,0,0,1
1,0,0,0,0,L,0,0,0,E,1
1,0,0,0,0,L,1,1,1,1,1
1,E,0,0,0,L,0,0,0,0,1
1,1,1,1,1,L,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,L,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,L,0,0,0,0,0,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,O,O,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1

